pat_id, a_id
pat1, a1
pat1, a2
pat1, a3
pat1, a4
pat2, a5
pat3, a6
pat4, a7
pat4, a8
pat4, a9
pat4, a10
pat4, a11
pat5, a12
pat5, a13
pat6, a14
pat7, a15
pat7, a16
pat7, a17
pat8, a18
pat9, a19
pat9, a20
pat10, a21
pat10, a22
pat11, a23
pat11, a24
pat11, a25
pat11, a26
pat11, a27
pat12, a28
pat13, a29
pat14, a12
pat14, a30
pat14, a31
pat14, a32
pat15, a9
pat15, a8
pat15, a33
pat15, a34
pat15, a35
pat15, a36
pat16, a37
pat17, a38
pat17, a39
pat18, a40
pat18, a41
pat18, a42
pat18, a43
pat18, a44
pat19, a13
pat19, a32
pat19, a30
pat20, a45
pat21, a46
pat22, a47
pat23, a48
pat23, a49
pat23, a50
pat23, a51
pat24, a52
pat24, a53
pat24, a54
pat24, a55
pat25, a56
pat26, a57
pat27, a58
pat27, a59
pat28, a60
pat28, a61
pat28, a62
pat29, a63
pat29, a64
pat30, a65
pat30, a66
pat31, a67
pat32, a68
pat32, a69
pat32, a70
pat33, a71
pat33, a72
pat33, a73
pat33, a74
pat33, a75
pat34, a76
pat35, a77
pat35, a78
pat36, a79
pat36, a80
pat36, a81
pat36, a82
pat37, a83
pat37, a84
pat38, a76
pat39, a76
pat39, a85
pat40, a45
pat41, a86
pat42, a87
pat43, a88
pat43, a89
pat43, a90
pat44, a91
pat44, a92
pat44, a93
pat44, a94
pat44, a95
pat44, a96
pat45, a97
pat45, a98
pat46, a99
pat46, a100
pat47, a101
pat48, a102
pat48, a103
pat50, a104
pat51, a76
pat52, a105
pat53, a106
pat53, a107
pat54, a108
pat54, a109
pat55, a110
pat55, a111
pat55, a112
pat56, a113
pat56, a114
pat56, a115
pat56, a116
pat56, a117
pat56, a118
pat56, a119
pat57, a120
pat58, a121
pat59, a122
pat60, a45
pat61, a123
pat61, a124
pat62, a125
pat62, a126
pat62, a127
pat63, a128
pat63, a129
pat64, a130
pat65, a131
pat65, a132
pat66, a133
pat66, a134
pat66, a135
pat67, a136
pat67, a137
pat67, a138
pat67, a139
pat67, a140
pat68, a141
pat69, a142
pat69, a143
pat70, a144
pat71, a145
pat71, a146
pat72, a147
pat73, a148
pat73, a149
pat74, a150
pat75, a151
pat75, a152
pat76, a153
pat77, a123
pat77, a124
pat78, a154
pat78, a155
pat78, a156
pat78, a157
pat79, a158
pat79, a159
pat80, a76
pat81, a153
pat82, a58
pat82, a160
pat83, a45
pat84, a161
pat84, a162
pat85, a163
pat86, a45
pat87, a164
pat87, a165
pat88, a166
pat89, a167
pat89, a128
pat91, a47
pat92, a168
pat93, a169
pat93, a170
pat93, a171
pat94, a161
pat94, a162
pat95, a172
pat95, a173
pat95, a174
pat95, a175
pat96, a176
pat97, a177
pat98, a178
pat98, a179
pat98, a180
pat98, a181
pat99, a182
pat99, a183
pat99, a184
pat99, a185
pat100, a186
pat100, a187
pat100, a188
pat101, a189
pat101, a190
pat101, a191
pat101, a192
pat102, a193
pat102, a194
pat102, a195
pat102, a196
pat102, a197
pat103, a198
pat103, a199
pat103, a200
pat103, a201
pat103, a202
pat103, a203
pat104, a204
pat105, a142
pat106, a205
pat106, a206
pat106, a207
pat108, a208
pat108, a209
pat108, a210
pat109, a211
pat109, a212
pat110, a213
pat110, a214
pat111, a215
pat112, a216
pat113, a104
pat114, a217
pat115, a218
pat116, a123
pat116, a124
pat117, a219
pat117, a220
pat117, a221
pat118, a222
pat118, a223
pat119, a224
pat120, a225
pat121, a226
pat122, a227
pat123, a166
pat124, a228
pat124, a229
pat125, a230
pat125, a231
pat126, a147
pat127, a77
pat128, a232
pat128, a233
pat128, a234
pat129, a235
pat129, a236
pat130, a237
pat130, a238
pat131, a147
pat132, a182
pat132, a183
pat132, a184
pat132, a185
pat133, a239
pat134, a240
pat135, a241
pat135, a242
pat135, a243
pat136, a244
pat136, a245
pat136, a246
pat136, a247
pat136, a248
pat136, a249
pat137, a250
pat137, a251
pat138, a252
pat138, a253
pat139, a182
pat139, a183
pat140, a254
pat140, a255
pat140, a256
pat140, a257
pat141, a258
pat141, a259
pat141, a260
pat141, a261
pat141, a262
pat142, a228
pat143, a263
pat144, a264
pat144, a265
pat144, a266
pat144, a267
pat145, a264
pat145, a268
pat145, a266
pat146, a124
pat146, a123
pat147, a269
pat147, a270
pat147, a271
pat147, a272
pat148, a273
pat148, a274
pat149, a172
pat149, a275
pat149, a276
pat149, a277
pat149, a278
pat150, a239
pat150, a279
pat151, a280
pat151, a281
pat152, a239
pat152, a282
pat153, a283
pat154, a284
pat154, a285
pat155, a286
pat155, a287
pat155, a288
pat155, a289
pat155, a290
pat155, a291
pat155, a292
pat155, a293
pat155, a294
pat156, a295
pat156, a296
pat156, a297
pat156, a298
pat156, a299
pat156, a300
pat156, a301
pat156, a302
pat157, a303
pat157, a304
pat157, a305
pat158, a306
pat158, a307
pat158, a308
pat159, a309
pat160, a310
pat160, a311
pat160, a312
pat161, a128
pat161, a167
pat162, a313
pat163, a314
pat164, a315
pat165, a316
pat166, a166
pat166, a317
pat167, a77
pat168, a318
pat168, a319
pat168, a320
pat168, a321
pat169, a322
pat169, a323
pat169, a324
pat170, a123
pat170, a124
pat171, a258
pat171, a259
pat171, a260
pat171, a261
pat171, a262
pat172, a325
pat173, a258
pat173, a259
pat173, a260
pat173, a261
pat173, a262
pat174, a326
pat175, a327
pat176, a328
pat177, a323
pat177, a329
pat178, a330
pat178, a331
pat178, a332
pat178, a333
pat179, a334
pat179, a335
pat179, a198
pat180, a280
pat180, a281
pat180, a89
pat181, a336
pat181, a337
pat181, a338
pat182, a339
pat183, a166
pat184, a340
pat184, a341
pat184, a342
pat185, a343
pat186, a344
pat187, a345
pat187, a346
pat187, a347
pat187, a348
pat188, a349
pat188, a183
pat188, a185
pat190, a350
pat190, a351
pat190, a352
pat190, a353
pat191, a350
pat191, a351
pat191, a352
pat192, a354
pat192, a355
pat192, a356
pat193, a357
pat193, a358
pat193, a359
pat194, a360
pat194, a361
pat195, a362
pat196, a363
pat196, a364
pat197, a365
pat197, a366
pat197, a367
pat197, a368
pat198, a124
pat198, a123
pat199, a369
pat200, a370
pat200, a335
pat200, a198
pat201, a371
pat201, a372
pat202, a373
pat203, a183
pat203, a185
pat203, a374
pat204, a375
pat204, a376
pat205, a377
pat205, a378
pat205, a379
pat206, a380
pat206, a381
pat207, a382
pat207, a383
pat208, a384
pat208, a385
pat208, a386
pat210, a387
pat210, a388
pat211, a389
pat212, a45
pat213, a390
pat214, a129
pat214, a128
pat215, a314
pat216, a391
pat217, a392
pat218, a393
pat218, a394
pat219, a395
pat219, a396
pat220, a335
pat220, a198
pat220, a334
pat221, a397
pat221, a398
pat221, a399
pat222, a400
pat222, a401
pat223, a402
pat224, a403
pat224, a404
pat225, a101
pat226, a405
pat226, a406
pat226, a407
pat226, a408
pat227, a409
pat228, a410
pat229, a410
pat230, a273
pat231, a344
pat232, a224
pat232, a411
pat233, a412
pat234, a246
pat234, a413
pat235, a414
pat235, a415
pat235, a416
pat236, a417
pat236, a418
pat236, a134
pat237, a419
pat237, a420
pat238, a421
pat239, a422
pat239, a423
pat240, a424
pat241, a425
pat241, a426
pat241, a427
pat241, a428
pat241, a429
pat241, a430
pat242, a406
pat242, a405
pat242, a431
pat242, a432
pat243, a433
pat243, a434
pat244, a412
pat245, a435
pat245, a436
pat245, a437
pat246, a199
pat246, a193
pat246, a347
pat246, a195
pat246, a438
pat247, a439
pat247, a440
pat247, a441
pat248, a442
pat248, a443
pat250, a442
pat251, a444
pat251, a445
pat253, a446
pat254, a362
pat255, a447
pat255, a448
pat255, a449
pat255, a450
pat255, a451
pat255, a452
pat256, a453
pat257, a454
pat258, a455
pat258, a194
pat258, a195
pat258, a456
pat259, a457
pat259, a458
pat259, a347
pat259, a459
pat260, a454
pat261, a460
pat262, a461
pat263, a350
pat263, a351
pat263, a462
pat263, a353
pat263, a352
pat264, a166
pat265, a141
pat266, a463
pat266, a464
pat267, a447
pat267, a448
pat267, a449
pat267, a450
pat267, a451
pat267, a452
pat268, a465
pat269, a367
pat270, a466
pat271, a350
pat271, a351
pat271, a352
pat271, a353
pat272, a467
pat272, a468
pat273, a469
pat273, a124
pat273, a123
pat274, a470
pat274, a471
pat274, a472
pat275, a473
pat276, a474
pat276, a475
pat276, a476
pat276, a477
pat276, a478
pat276, a479
pat277, a480
pat277, a481
pat277, a482
pat277, a483
pat278, a484
pat278, a485
pat279, a166
pat279, a486
pat280, a487
pat280, a488
pat280, a489
pat281, a367
pat281, a366
pat281, a490
pat281, a491
pat282, a492
pat282, a493
pat283, a387
pat283, a388
pat284, a405
pat284, a406
pat284, a407
pat284, a408
pat285, a286
pat285, a494
pat285, a495
pat285, a496
pat285, a497
pat285, a498
pat285, a499
pat285, a292
pat285, a500
pat285, a291
pat286, a183
pat286, a185
pat286, a501
pat287, a462
pat288, a502
pat288, a193
pat289, a503
pat289, a504
pat289, a450
pat289, a505
pat289, a506
pat289, a507
pat291, a508
pat292, a509
pat293, a350
pat293, a351
pat293, a352
pat293, a353
pat294, a462
pat295, a510
pat296, a129
pat296, a128
pat297, a511
pat297, a512
pat297, a513
pat298, a514
pat298, a515
pat298, a516
pat298, a517
pat298, a518
pat299, a519
pat299, a520
pat300, a123
pat300, a124
pat301, a286
pat301, a287
pat301, a289
pat301, a288
pat301, a290
pat301, a521
pat301, a291
pat301, a292
pat301, a294
pat302, a522
pat302, a523
pat303, a524
pat303, a525
pat303, a526
pat303, a527
pat303, a528
pat304, a529
pat304, a530
pat304, a531
pat304, a532
pat305, a533
pat305, a534
pat305, a535
pat307, a536
pat308, a537
pat309, a538
pat310, a410
pat311, a410
pat312, a89
pat312, a539
pat312, a540
pat312, a541
pat312, a542
pat313, a543
pat313, a544
pat313, a545
pat313, a546
pat314, a547
pat314, a548
pat314, a549
pat314, a550
pat316, a422
pat316, a551
pat316, a552
pat317, a473
pat318, a553
pat318, a554
pat318, a555
pat318, a556
